Title,Name,Year,Journal,ArticleURL,Abstract,AuthorCount,Cites,CitesPerAuthor,CitesPerYear,CitesURL,DOI,Age,ECC,FullTextURL,GSRank,Publisher,QueryDate,RelatedURL,Type
Interventions to improve adherence to antiretroviral therapy: a systematic review and network meta-analysis,"S Kanters, JJH Park, K Chan, ME Socias, N Ford, ...",2017,The lancet HIV,https://www.thelancet.com/journals/lanhiv/article/PIIS2352-3018(16)30206-5/abstract,Background High adherence to antiretroviral therapy is crucial to the success of HIV treatment. We evaluated comparative effectiveness of adherence interventions with the aim …,6,303,51,37.88,https://scholar.google.com/scholar?cites=13059139526319050634&as_sdt=2005&sciodt=2007&hl=en,,8,303,https://www.thelancet.com/pdfs/journals/lanhiv/PIIS2352-3018(16)30206-5.pdf,1,thelancet.com,"July 6, 2025 7:45 AM (PDT)",https://scholar.google.com/scholar?q=related:io-CejViO7UJ:scholar.google.com/&scioq=author:%22jamie+i+forrest%22&hl=en&as_sdt=2007,
Comparative efficacy and safety of first-line antiretroviral therapy for the treatment of HIV infection: a systematic review and network meta-analysis,"S Kanters, M Vitoria, M Doherty, ME Socias, N Ford, ...",2016,The lancet HIV,https://www.thelancet.com/journals/lanhiv/article/PIIS2352-3018(16)30091-1/abstract,"Background New antiretroviral therapy (ART) regimens for HIV could improve clinical outcomes for patients. To inform global guidelines, we aimed to assess the comparative …",6,257,43,28.56,https://scholar.google.com/scholar?cites=13472222650056974842&as_sdt=2005&sciodt=2007&hl=en,,9,257,https://www.academia.edu/download/101448852/Comparative_efficacy_and_safety_of_firstline_ART.pdf,2,thelancet.com,"July 6, 2025 7:45 AM (PDT)",https://scholar.google.com/scholar?q=related:-iGeDx_z9roJ:scholar.google.com/&scioq=author:%22jamie+i+forrest%22&hl=en&as_sdt=2007,
Women and vulnerability to HAART non-adherence: a literature review of treatment adherence by gender from 2000 to 2011,"CM Puskas, JI Forrest, S Parashar, KA Salters, ...",2011,Current HIV/AIDS …,https://link.springer.com/article/10.1007/s11904-011-0098-0,"A literature review of original research articles on adherence to antiretroviral therapy (ART) in developed countries, covering January 2000 to June 2011, was conducted to determine if …",5,211,42,15.07,https://scholar.google.com/scholar?cites=10203494105814951250&as_sdt=2005&sciodt=2007&hl=en,10.1007/s11904-011-0098-0,14,211,https://www.academia.edu/download/46146384/s11904-011-0098-020160601-28769-ec06b6.pdf,3,Springer,"July 6, 2025 7:45 AM (PDT)",https://scholar.google.com/scholar?q=related:UmXkLNQXmo0J:scholar.google.com/&scioq=author:%22jamie+i+forrest%22&hl=en&as_sdt=2007,
"Effect of early treatment with fluvoxamine on risk of emergency care and hospitalisation among patients with COVID-19: the TOGETHER randomised, platform …","G Reis, EA dos Santos Moreira-Silva, ...",2022,The Lancet Global …,https://www.thelancet.com/journals/langlo/article/PIIS2214-109X(21)00448-4/fulltext?mst-click=yes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes,"Background Recent evidence indicates a potential therapeutic role of fluvoxamine for COVID-19. In the TOGETHER trial for acutely symptomatic patients with COVID-19, we …",3,415,138,138.33,https://scholar.google.com/scholar?cites=11437889924056371889&as_sdt=2005&sciodt=2007&hl=en,,3,415,https://www.thelancet.com/journals/langlo/article/PIIS2214-109X(21)00448-4/fulltext?mst-click=yes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes%3Fmst-click%3Dyes,4,thelancet.com,"July 6, 2025 7:45 AM (PDT)",https://scholar.google.com/scholar?q=related:sVJmD0mMu54J:scholar.google.com/&scioq=author:%22jamie+i+forrest%22&hl=en&as_sdt=2007,HTML
"Validating a shortened depression scale (10 item CES-D) among HIV-positive people in British Columbia, Canada","W Zhang, N O'Brien, JI Forrest, KA Salters, ...",2012,PloS one,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0040793,Objective To establish the reliability and validity of a shortened (10-item) depression scale used among HIV-positive patients enrolled in the Drug Treatment Program in British …,5,686,137,52.77,https://scholar.google.com/scholar?cites=14625338329471016764&as_sdt=2005&sciodt=2007&hl=en,,13,686,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0040793,5,journals.plos.org,"July 6, 2025 7:45 AM (PDT)",https://scholar.google.com/scholar?q=related:PF8G6Lij98oJ:scholar.google.com/&scioq=author:%22jamie+i+forrest%22&hl=en&as_sdt=2007,HTML
Effect of early treatment with ivermectin among patients with Covid-19,"G Reis, EASM Silva, DCM Silva, ...",2022,… England Journal of …,https://www.nejm.org/doi/abs/10.1056/NEJMoa2115869,Background The efficacy of ivermectin in preventing hospitalization or extended observation in an emergency setting among outpatients with acutely symptomatic coronavirus disease …,4,264,66,88,https://scholar.google.com/scholar?cites=17731035617014613070&as_sdt=2005&sciodt=2007&hl=en,10.1056/NEJMoa2115869,3,264,https://www.nejm.org/doi/pdf/10.1056/nejmoa2115869,6,Mass Medical Soc,"July 6, 2025 7:45 AM (PDT)",https://scholar.google.com/scholar?q=related:ToT0W_NKEfYJ:scholar.google.com/&scioq=author:%22jamie+i+forrest%22&hl=en&as_sdt=2007,
Early treatment with pegylated interferon lambda for Covid-19,"G Reis, EAS Moreira Silva, ...",2023,… England Journal of …,https://www.nejm.org/doi/full/10.1056/NEJMoa2209760,Background The efficacy of a single dose of pegylated interferon lambda in preventing clinical events among outpatients with acute symptomatic coronavirus disease 2019 (Covid …,3,174,58,87,https://scholar.google.com/scholar?cites=9527850041266565523&as_sdt=2005&sciodt=2007&hl=en,10.1056/NEJMoa2209760,2,174,https://www.nejm.org/doi/full/10.1056/NEJMoa2209760,7,Mass Medical Soc,"July 6, 2025 7:45 AM (PDT)",https://scholar.google.com/scholar?q=related:k3HiviG5OYQJ:scholar.google.com/&scioq=author:%22jamie+i+forrest%22&hl=en&as_sdt=2007,HTML
A real-time dashboard of clinical trials for COVID-19,"K Thorlund, L Dron, J Park, G Hsu, JI Forrest, ...",2020,The Lancet Digital …,https://www.thelancet.com/journals/landig/article/PIIS2589-7500(20)30086-8/fulltext,"In response to the global coronavirus disease 2019 (COVID-19) emergency, clinical trial research assessing the efficacy and safety of clinical candidate interventions to treat COVID …",6,261,44,52.2,https://scholar.google.com/scholar?cites=6194483956566393992&as_sdt=2005&sciodt=2007&hl=en,,5,261,https://www.thelancet.com/journals/landig/article/PIIS2589-7500(20)30086-8/fulltext,8,thelancet.com,"July 6, 2025 7:45 AM (PDT)",https://scholar.google.com/scholar?q=related:iAT_tVY691UJ:scholar.google.com/&scioq=author:%22jamie+i+forrest%22&hl=en&as_sdt=2007,HTML
Effect of early treatment with hydroxychloroquine or lopinavir and ritonavir on risk of hospitalization among patients with COVID-19: the TOGETHER randomized …,"G Reis, EASM Silva, DCM Silva, L Thabane, ...",2021,JAMA Network …,https://jamanetwork.com/journals/jamanetworkopen/article-abstract/2779044,Importance Data on the efficacy of hydroxychloroquine or lopinavir-ritonavir for the treatment of high-risk outpatients with COVID-19 in developing countries are needed. Objective To …,5,165,33,41.25,https://scholar.google.com/scholar?cites=2867622722193340176&as_sdt=2005&sciodt=2007&hl=en,,4,165,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2779044,9,jamanetwork.com,"July 6, 2025 7:45 AM (PDT)",https://scholar.google.com/scholar?q=related:EDcsKqzXyycJ:scholar.google.com/&scioq=author:%22jamie+i+forrest%22&hl=en&as_sdt=2007,
Life expectancy among HIV-positive patients in Rwanda: a retrospective observational cohort study,"S Nsanzimana, E Remera, S Kanters, K Chan, ...",2015,The Lancet Global …,https://www.thelancet.com/journals/langlo/article/PIIS2214-109X(14)70364-X/fulltext,Background Rwanda has achieved substantial progress in scaling up of antiretroviral therapy. We aimed to assess the effect of increased access to antiretroviral therapy on life …,5,144,29,14.4,https://scholar.google.com/scholar?cites=7844775672896744114&as_sdt=2005&sciodt=2007&hl=en,,10,144,https://www.thelancet.com/journals/langlo/article/PIIS2214-109X(14)70364-X/fulltext,10,thelancet.com,"July 6, 2025 7:45 AM (PDT)",https://scholar.google.com/scholar?q=related:suqiPek93mwJ:scholar.google.com/&scioq=author:%22jamie+i+forrest%22&hl=en&as_sdt=2007,HTML
